IDELEM,N,10,0;TIPO_ELEM,N,10,0;COD_CENT,C,254;NOMBRE,C,254;COORD_X,N,21,6;COORD_Y,N,21,6;Long;Lat
5787;495;40005;Av. Pablo Neruda  - Lago San Martín-Av. Buenos Aires;444825.245368;4470554.037991;-3.65130260;40.38187392
5788;495;40006;Av. Buenos Aires - Túnel Av. San Diego-Av. Pablo Neruda;444699.675307;4470347.934403;-3.65276395;40.38000887
5789;495;40007;Av. Pablo Neruda  - Cenicienta-Av. Buenos Aires;444572.927668;4470495.470835;-3.65426986;40.38132956
5790;495;40008;Av. Buenos Aires  - Pedro Laborde-Av. Pablo Neruda;444671.449406;4470651.920004;-3.65312285;40.38274549
5791;495;40009;Av. Pablo Neruda  - Guillermo Pingarrón-Av. Palomeras;445239.873519;4471003.603473;-3.64645684;40.38595125
5792;495;40010;Av. Pablo Neruda - Leoneses-Av. Palomeras;445140.276441;4470795.966994;-3.64761230;40.38407417
5793;495;40012;Av. Pablo Neruda  - Candilejas-Santos Inocentes;443870.608075;4470540.800650;-3.66254726;40.38169089
5794;495;40013;C/. Candilejas - Pto. Balbarán-Av. Pablo Neruda;443723.677340;4470535.784802;-3.66427769;40.38163580
5795;495;40014;Av. San Diego  - Vizconde de Arlessón-Candilejas;443722.945311;4470665.605913;-3.66429778;40.38280526
5796;495;40016;C/. Arroyo del Olivar  - Tte. Muñoz Diaz-Payaso Fofó;444188.100767;4471558.745319;-3.65889637;40.39088252
5797;495;40017;C/. Payaso Fofó  - Av. Albufera-Arroyo del Olivar;444135.618742;4471701.744933;-3.65952725;40.39216723
5798;495;40018;C/. Arroyo del Olivar  - Sierra del Cadi-Payaso Fofó;444049.688434;4471621.482040;-3.66053263;40.39143841
5799;495;40019;C/. Arroyo del Olivar - Payaso Fofó-Sierra de Cadi;443986.997044;4471658.705261;-3.66127453;40.39176953
5800;495;40020;C/. Sierra del Cadi  - Av. Albufera-Arroyo del Olivar;444024.518749;4471751.205418;-3.66084058;40.39260535
5801;495;40021;C/. Arroyo del Olivar - Ntra. Sra. Perpetuo Socorro-Sierra del Cadi;443892.842120;4471745.031605;-3.66239146;40.39254087
5802;495;40022;C/. Carlos Martín Álvarez  - Javier de Miguel-Arroyo del Olivar;443907.425597;4471571.567364;-3.66220435;40.39097918
5803;495;40023;C/. Martínez de la Riva  - Arroyo del Olivar-Párroco Emilio Franco;443581.433635;4471811.172246;-3.66606635;40.39311567
5804;495;40024;Av. Pablo Neruda  - Luis Buñuel- Guillermo Pingarrón;445321.632640;4471098.345602;-3.64550179;40.38681012
5805;495;40025;Av. Pablo Neruda  - Av. Albufera-Luis Buñuel;445417.662691;4471303.611766;-3.64438804;40.38866559
5806;495;40026;C/. Carlos Martínez de la Riva  - Javier de Miguel-Carlos Martín Álvarez;443703.360196;4471334.567466;-3.66458765;40.38883037
5807;495;40028;C/. Carlos Martín Álvarez  - Javier de Miguel-Martínez de la Riva;443730.525985;4471288.677506;-3.66426354;40.38841879
5808;495;40029;C/. Javier de Miguel - Martínez de la Riva-Carlos Martín Álvarez;443721.356894;4471361.247365;-3.66437798;40.38907192
5809;495;40030;C/. Javier de Miguel  - Martínez de la Riva-Carlos Martín Álvarez;443725.911450;4471368.863788;-3.66432500;40.38914085
5810;495;40031;C/. Carlos Martín Álvarez  - Martinez de la Riva-Javier de Miguel;443746.320058;4471329.843313;-3.66408110;40.38879071
5811;495;40401;Av. Buenos Aires - Av. Buenos Aires-Río Iguazú;444675.132956;4470984.062599;-3.65310832;40.38573790
5812;495;41001;Av. Ciudad de Barcelona  - Seco-M-30;443184.221329;4472479.062102;-3.67080599;40.39910543
5813;495;41002;Av. Albufera - Melquiades Biencinto-M-30;443383.585460;4472347.917180;-3.66844518;40.39793758
5814;495;41004;Av. Albufera  - Concordia-Sierra de Javalambre;443586.313127;4472199.047851;-3.66604324;40.39661023
5815;495;41005;Av. Albufera - Puerto Pajares-Perpetuo Socorro;443821.195825;4472042.408040;-3.66326185;40.39521499
5816;495;41006;Av. Albufera  - Perpetuo Socorro-Pto Pajares;443869.251544;4472001.727273;-3.66269205;40.39485175
5817;495;41007;Av. Albufera - Perpetuo Socorro-Pto Pajares;443982.943836;4471922.277211;-3.66134548;40.39414368
5818;495;41008;Av. Albufera  - Perpeto Socorro-Siera de Cadi;444052.220070;4471881.610013;-3.66052567;40.39378198
5819;495;41009;Av. Albufera - Payaso Fofo-Sierra de Cadi;444115.596035;4471829.535120;-3.65977438;40.39331711
5820;495;41010;Av. Albufera  - Sierra del Cadi-Josefa Diaz;444169.234813;4471799.082248;-3.65913973;40.39304636
5821;495;41011;Av. Albufera - Josefa Diaz-Cantalapiedra;444390.907300;4471655.147430;-3.65651537;40.39176454
5822;495;41012;Av. Albufera  - Cantalapiedra-Josefa Diaz;444420.702704;4471657.440268;-3.65616453;40.39178718
5823;495;41013;Av. Albufera - Sierra Faladora-Pio Felipe;444807.070062;4471607.731370;-3.65160805;40.39136507
5824;495;41014;Vía Servicio M-30 - M-30-Av. Albufera;443360.626422;4472523.855761;-3.66873136;40.39952098
5825;495;41015;Vía Servicio M-30 - M-30-Av. Albufera;443259.879138;4472268.795059;-3.66989575;40.39721637
5826;495;41016;C/. Melquiades Biencinto - Antonio Calas-Av. Albufera;443343.816089;4472307.322930;-3.66891017;40.39756917
5827;495;41017;Av. Albufera - Melquiades Biencinto-Monte Igueldo;443399.377808;4472329.821815;-3.66825749;40.39777563
5828;495;41018;Peña Prieta  - Sierra de los Filabres-M-30;443382.685993;4472443.101986;-3.66846424;40.39879499
5829;495;41019;Av. Monte Igueldo - Antonia Calas-Peña Gorbea;443408.826490;4472202.648973;-3.66813484;40.39663062
5830;495;41020;C/. Peña Gorbea - Concordia-Melquiades Biencinto;443432.921925;4472128.579739;-3.66784435;40.39596500
5831;495;41021;C/. Concordia - Peña Gorbea-Av. Albufera;443612.730436;4472111.508869;-3.66572422;40.39582341
5832;495;41022;C/. Ntra. Sra. Perpetuo Socorro - Puerto del Monasterio-Av. Albufera;443938.462077;4471899.090972;-3.66186753;40.39393181
5833;495;41023;C/. Sierra del Cadi - Arroyo del Olivar-Av. Albufera;444048.050463;4471773.821737;-3.66056531;40.39281067
5834;495;41024;C/. Josefa Diaz  - Enrique Velasdco- Av. Albufera;444227.823114;4471817.631336;-3.65845105;40.39321740
5835;495;41025;C/. Payaso Fofó 3  - Arroyo del Olivar-Av. Albufera;444159.388753;4471721.322032;-3.65924891;40.39234519
5836;495;41026;C/. Pio Felipe - Pio Felipe-Av. Albufera;444585.203836;4471705.803093;-3.65423059;40.39223383
5837;495;41027;Av. Buenos Aires - Sierra Salvada-Av. Albufera;444662.330471;4471515.056305;-3.65330530;40.39052059
5838;495;41029;Av. Albufera - Av. Pablo Neruda-Santiago Alió;445364.792703;4471393.857199;-3.64501867;40.38947512
5839;495;41030;Av. Albufera  - San Claudio- Av. Pablo Neruda;445613.142466;4471258.854696;-3.64208119;40.38827518
5840;495;41031;Av. Albufera  - Av. Pablo Neruda-San Claudio;445646.595652;4471224.732281;-3.64168415;40.38796996
5841;495;41055;Av. Albufera - M-40-Av. Albufera 300 P.P.;446093.572421;4470974.803160;-3.63639701;40.38574748
5842;495;41033;Av. Albufera - Fuengirola-Acceso M-40;446026.840800;4471003.179475;-3.63718558;40.38599879
5843;495;41034;Av. Albufera - Av. Albufera-M-40;446262.624926;4470891.414118;-3.63439838;40.38500717
5844;495;41035;Av. Albufera - Av. Albufera-M-40;446189.622574;4470926.379087;-3.63526136;40.38531744
5845;495;41036;Av. Albufera  - Av. Albufera- M-40;446448.721426;4470758.995380;-3.63219488;40.38382624
5846;495;41037;Av. Pablo Neruda - Av. Pablo Neruda-Av.Albufera;445503.621999;4471447.952236;-3.64338768;40.38997153
5847;495;41038;Av. Pablo Neruda - Luis Buñuel-Av. Albufera;445419.176876;4471262.510925;-3.64436668;40.38829543
5848;495;41039;Av. Rafael Alberti - Av. Rafael Alberti-Av. Albufera;445810.231419;4471277.586563;-3.63976080;40.38845676
5849;495;41041;Incorporación  M-40 hacía Av. Albufera N-S - M-40-Av. Albufera;446214.545358;4471035.532707;-3.63497697;40.38630239
5850;495;41042;Av. Albufera - Sierra Carbonera-Puerto Pajares;443767.196761;4472072.985747;-3.66390080;40.39548681
5851;495;41043;Incorporación Av. Albufera hacía M-40 - Av. Albufera hacía M-40;446348.739702;4470935.889592;-3.63338763;40.38541339
5852;495;41044;Av. Monte Igueldo - Av. Monte Igueldo-Antonia Calas;443435.966533;4472245.499021;-3.66781887;40.39701848
5853;495;41045;Sierra de Javalambre - Francisco Iglesias-Av. Albufera;443472.955706;4472346.529040;-3.66739201;40.39793115
5854;495;41046;Av. Albufera - Sierra Carbonera-Ntra. Sra. Perpetuo Socorro;443950.294371;4471952.264537;-3.66173280;40.39441163
5855;495;41047;Av. Albufera  - Puerto de Alcolea-Concordia;443619.069340;4472182.487499;-3.66565582;40.39646326
5856;495;41048;Av. Albufera - Av. Buenos Aires-Siera Faladora;444722.838254;4471612.877554;-3.65260091;40.39140584
5857;495;41049;Av. Albufera - Sierra Faladora- Adra;444878.451599;4471592.797676;-3.65076575;40.39123526
5858;495;41050;Av. Albufera - Pedro Laborde-Adra;445040.666120;4471577.728318;-3.64885326;40.39111022
5859;495;41051;Av. Albufera - Adra-Sierra Faladora;444908.224158;4471594.011886;-3.65041508;40.39124816
5860;495;41052;Av. Albufera - Cantalapiedra-Josefa Diaz;444306.121636;4471703.254887;-3.65751853;40.39219225
5861;495;41053;Av. Albufera - Av. Albufera-Cocherón de la Villa;446624.454300;4470670.886827;-3.63011725;40.38304377
5862;495;41054;Cocherón de la Villa  - Cocherón de la Villa-Av. Albufera;446575.155535;4470599.324297;-3.63069201;40.38239593
5863;495;41402;C/. Cerro Garabitas  - Av. Monte Igueldo-Melquiades Biencinto;443388.636840;4472200.468027;-3.66837254;40.39660961
5864;495;41403;C/. Santiago Alió  - Santiago Alió-Av. Albufera;445345.280744;4471380.989020;-3.64524744;40.38935791
5865;495;41404;C/. Fuengirola  - Av. Albufera-Benalmádena;445885.180365;4471066.118527;-3.63885983;40.38655659
5866;495;41405;Av. Albufera - Tranvía de Arganda- Bruno Abúndez;446429.921520;4470766.681785;-3.63241699;40.38389427
5867;495;41406;C/. Ramón Pérez de Ayala  - Ramón Pérez de Ayala-El Bosco;444794.824011;4472779.814007;-3.65185402;40.40192314
5868;495;41407;C/. Sierra de Cameros - Peña Gorbea-Av. Albufera;443702.084848;4472097.016841;-3.66467011;40.39569890
5869;495;41408;C/. Puerto Pajares - Peña Gorbea-Av. Albufera;443739.709632;4472069.087457;-3.66422432;40.39544984
5870;495;42002;Av. Cardenal Herrera Oria - Isla Tabarca-Pico Balaitus;438910.647890;4481550.581442;-3.72203454;40.48052316
5871;495;42003;Av. Cardenal Herrera Oria  - Pico Balaitus-Julio Calvo;438902.439813;4481553.980790;-3.72213169;40.48055318
5872;495;42004;Av. Cardenal Herrera Oria - Pico Balaitus-Isla de Arosa;439146.893081;4481679.024187;-3.71925983;40.48169758
5873;495;42005;Av. Cardenal Herrera Oria - Isla de Arosa-Pico Balaitus;439139.823409;4481684.640388;-3.71934377;40.48174765
5874;495;42006;Av. Cardenal Herrera Oria - Isla de Arosa-La Masó;439412.762512;4481781.738677;-3.71613307;40.48264231
5875;495;42007;Av. Cardenal Herrera Oria - La Masó-Isla de Arosa;439408.130369;4481791.445827;-3.71618865;40.48272942
5876;495;42008;Av. Cardenal Herrera Oria - Ginzo de Limia-La Masó;439680.325677;4481868.885323;-3.71298475;40.48344686
5877;495;42009;Av. Cardenal Herrera Oria - La Masó-Ginzo de  Limia;439877.777531;4482006.054006;-3.71066828;40.48469684
5878;495;42010;Av. Cardenal Herrera Oria - Av. Cardenal Herrera Oria-Laguna Grande;439993.995104;4482115.801358;-3.70930754;40.48569391
5879;495;42011;Av. Cardenal Herrera Oria - Cerro del Castañar-Ginzo de Limia;440150.434737;4482234.802146;-3.70747308;40.48677721
5880;495;42012;Av. Cardenal Herrera Oria - Peña del Oso-Cª. Colmenar;440840.762493;4482557.179142;-3.69935843;40.48973081
5881;495;42013;Av. Cardenal Herrera Oria - Ginzo de Limia-Peña del Oso;440645.725034;4482467.933128;-3.70165130;40.48891292
5882;495;42014;C/. Ramón Gómez de la Serna - Ramón Gómez de la Serna-Av. Cardenal Herrera Oria;438743.344467;4481542.349450;-3.72400746;40.48043668
5883;495;42015;C/. Isla de Arosa - Isla Cíes-Av. Cardenal Herrera Oria;439344.688922;4481680.790261;-3.71692651;40.48172796
5884;495;42016;C/. Fermín Caballero - Isla de Arosa-Av. Betanzos;439490.670627;4481630.304432;-3.71519948;40.48128382
5885;495;42017;C/. Fermín Caballero - Av. Betanzos-Esquivias;439723.454579;4481725.832629;-3.71246232;40.48216131
5886;495;42018;Av. Betanzos - Av. Betanzos-Fermín Caballero;439667.276168;4481642.691617;-3.71311717;40.48140825
5887;495;42019;C/. Ginzo de Limia - Av. Cardenal Herrera Oria-Fermín Caballero;440049.274332;4482045.643524;-3.70864870;40.48506589
5888;495;42020;C/. Ginzo de Limia - Fermín Caballero-Av. Cardenal Herrera Oria;440115.475995;4482006.982180;-3.70786400;40.48472239
5889;495;42021;C/. Ginzo de Limia - Av. Ilustración-Fermín Caballero;440276.392731;4481860.355720;-3.70595168;40.48341311
5890;495;42022;C/. Fermín Caballero - Esquivias-Ginzo de Limia;440106.837545;4481853.414912;-3.70795139;40.48333837
5891;495;42023;C/. Fermín Caballero - Patones-Ginzo de Limia;440246.112019;4481978.165179;-3.70632004;40.48447221
5892;495;42024;Acceso M-607 - Ctra. Colmenar-Av. Cardenal Herrera Oria;440891.924874;4482671.931659;-3.69876549;40.49076819
5893;495;42025;C/. San Modesto - San Modesto-Av. Cardenal Herrera Oria;441004.308395;4482531.590957;-3.69742639;40.48951194
5894;495;42028;Av. Ventisquero de la Condesa - Valle Pinares Llanos-Av. Cardenal Herrera Oria;439469.595973;4481916.933504;-3.71547548;40.48386435
5895;495;42029;Av. Ventisquero de la Condesa - Av. Cardenal Herrera Oria-Av. Ventisquero de la Condesa;439419.846282;4482009.113211;-3.71607124;40.48469111
5896;495;42030;Av. Ventisquero de la Condesa - Túnel-Valle Pinares Llanos;439412.217588;4482010.405775;-3.71616136;40.48470219
5897;495;42033;Av. Ventisquero de la Condesa - Túnel-Valle Pinares Llanos;439444.122162;4481955.052708;-3.71577966;40.48420589
5898;495;42034;Av. Ventisquero de la Condesa - Pinares Llanos-Túnel;439413.267649;4482000.815407;-3.71614806;40.48461588
5899;495;42035;Av. Cardenal Herrera Oria - Acceso M-607-Isla de Sicilia;441085.436998;4482617.986096;-3.69647720;40.49029598
5900;495;42036;Av. Cardenal Herrera Oria - Isla de Sicilia-Acceso a M-607;441079.753303;4482626.100704;-3.69654502;40.49036869
5901;495;42404;C/. Peña del Oso - Av. Cardenal Herrera Oria-Peña Citores;440717.992681;4482530.006643;-3.70080444;40.48947726
5902;495;42405;C/. Islas Cíes - Isla de Arosa-Islas Cíes;439336.918163;4481641.575759;-3.71701443;40.48137413
5903;495;42406;C/. Julio Calvo - Av. Cardenal Herrera Oria-Valle Pinares Llanos;438878.817200;4481764.051946;-3.72243064;40.48244384
5904;495;42407;C/. Alfredo Marquerie - Valencia de Don Juan-Sangenjo;440875.062566;4482370.425782;-3.69893630;40.48805089
5905;495;42408;C/. Sangenjo - Fermín Caballero-Alfredo Marquerie;440896.444006;4482360.190436;-3.69868307;40.48796022
5906;495;42409;C/. Laguna Grande  - Av. Cardenal Herrera Oria-Cambrils;439989.744235;4482143.555948;-3.70936032;40.48594363
5907;495;44001;C/. Alcalá - Virgen de la Alegría-Fernández Lanseros;444244.505901;4476081.346611;-3.65862837;40.43162866
5908;495;44002;C/. Alcalá - Fernández Lanseros-Virgen de la Alegría;444268.107180;4476093.161002;-3.65835117;40.43173668
5909;495;44003;C/. Alcalá - Fernández Lanseros-José Villena;444359.320557;4476101.620808;-3.65727660;40.43181899
5910;495;44004;C/. Alcalá - Alcalde López Casero-Fdez.Lanseros;444432.565972;4476121.009653;-3.65641481;40.43199856
5911;495;44005;C/. Alcalá - Alcalde López Casero-Mateo García;444606.781211;4476145.833376;-3.65436317;40.43223381
5912;495;44006;C/. Alcalá - Mateo García-Alcalde López Casero;444596.965482;4476149.911457;-3.65447924;40.43226989
5913;495;44007;C/. Alcalá - San Gumersindo-Mateo García;444768.523965;4476179.462967;-3.65245930;40.43254752
5914;495;44008;C/. Alcalá - Hermanos Machado-Lago Constanza;445047.964671;4476222.173385;-3.64916865;40.43295078
5915;495;44009;C/. Alcalá - Lago Constanza-Ezequiel Solana;445196.012788;4476278.694365;-3.64742818;40.43346973
5916;495;44010;C/. Alcalá - Lago Constanza-Ezequiel Solana;445153.408136;4476246.936016;-3.64792771;40.43318082
5917;495;44011;C/. Alcalá - Urquiza-Virgen del Sagrario;445276.463136;4476328.991751;-3.64648407;40.43392813
