cod,nombre,Lat,Long,ocupacion,intensidad
2059,AV. MEDITERRANEO E-O - ABTAO-JUAN URBIETA,40.407164,-3.674457,30,880
2060,(TACTICO) DR. ESQUERDO N-S - CAVANILLES-VALDERRIBAS GIRO IZQ.,40.403519,-3.672874,19,60
2061,(TACTICO) VALDERRIBAS E-O - SANCHEZ BARCAIZTEGUI-DR. ESQUERDO,40.403363,-3.673383,32,140
2062,DR. ESQUERDO N-S - PL. CONDE CASAL-CAVANILLES,40.404997,-3.671534,4,1020
2063,(TACTICO) GARIBAY E-O - (ENTRADA DR. ESQUERDO),40.404057,-3.671727,38,780
2064,DR. ESQUERDO S-N - VALDERRIBAS-GARIBAY,40.403631,-3.672560,43,1280
2065,CAVANILLES O-E - SANCHEZ BARCAIZTEGUI-DR. ESQUERDO,40.404626,-3.673127,1,100
2066,CAVANILLES E-O - ABTAO-JUAN URBIETA,40.405942,-3.675802,30,620
2300,(MICRO) PL. CONDE CASAL - (ANTES DEL GRUPO 16),40.406787,-3.670538,10,560
2301,(MICRO) PL. CONDE CASAL - (ANTES DEL GRUPO 15),40.406403,-3.669794,21,360
2304,(MICRO) IBIZA E-O - DR. ESQUERDO-MAIQUEZ (DELANTE GRUPO 4),40.418049,-3.670254,15,560
4001,CONCHA ESPINA 57 O-E - SERRANO-RODRIGUEZ MARIN),40.451587,-3.680143,4,740
4002,RAMON Y CAJAL 7 E-O - PRINCIPE VERGARA-MARCENADO),40.451720,-3.675705,10,1280
4003,PRINCIPE VERGARA 207 S-N - PRADILLO-RAMON Y CAJAL),40.450170,-3.677682,0,0
4004,ALFONSO XIII 51 N-S - ALHELIES-RAMON Y CAJAL,40.453037,-3.667362,4,460
4005,RAMON Y CAJAL 69 O-E - GABRIEL GALAN-ALFONSO XIII,40.452370,-3.668441,25,1140
4006,RAMON Y CAJAL E-O - Pº DE LOS JACINTOS-ALFONSO XIII,40.452390,-3.666512,0,0
4007,PRINCIPE VERGARA N-S - PL. REPUBLICA ECUADOR-CONCHA ESPINA,40.452947,-3.677478,7,1040
4008,RAMON Y CAJAL O-E - PRINCIPE VERGARA-MARCENADO (DELANTE GRUPO 2)(P.M.5),40.451581,-3.676601,6,940
4009,PRINCIPE VERGARA N-S - (CONCHA ESPINA-PL. CATALUÑA)(DELANTE GRUPO 8)(P.M.8),40.450787,-3.677720,11,1660
4010,RAMON-CAJAL O-E - RODRIGUEZ MARIN-PRINCIPE VERGARA,40.451586,-3.678569,8,1180
4011,RAMON Y CAJAL E-O - PRINCIPE VERGARA-RODRIGUEZ MARIN (DELANTE GRUPO 4)(P.M.7),40.451712,-3.678252,22,1220
4012,RAMON Y CAJAL O-E - (LA PEDRIZA-PADRE CLARET)(DELANTE GRUPO 9),40.453087,-3.667248,25,1140
4013,RAMON Y CAJAL O-E - LA PEDRIZA-PADRE CLARET (DELANTE GRUPO 5),40.452240,-3.666507,21,1560
4014,ALFONSO XIII S-N - CARLOS PEREIRA-RAMON Y CAJAL,40.451705,-3.667525,78,499
4015,RAMON Y CAJAL (ENCIMA PUENTE) E-O - M-30 -Pº DE LOS JACINTOS,40.452994,-3.663941,9,1620
4016,PADRE CLARET S-N - CARLOS PEREYRA-RAMON Y CAJAL,40.452024,-3.665429,31,1100
4017,PRINCIPE VERGARA S-N - SANCHEZ PACHECO-PL. CATALUÑA (EN RT),40.446915,-3.678035,6,1700
4018,DOCTOR ARCE S-N - ESTEVEZ-PL. CATALUÑA,40.447833,-3.680031,9,1260
4019,DOCTOR ARCE 11 N-S - NERVION-PL. REPUBLICA ARGENTINA,40.445716,-3.683791,3,740
4020,CONCHA ESPINA 57 E-O - RODRIGUEZ MARIN-SERRANO,40.451730,-3.680103,8,1200
4021,PL. CATALUÑA (ISLETA CENTRAL) O-E - DR. ARCE - PRINCIPE DE VERGARA,40.448644,-3.678481,6,1120
4022,(TACTICO) DOCTOR ARCE O-E - EN EL PROPIO CRUCE ( EN RT),40.445988,-3.682599,6,20
4023,(TACTICO) PL. CATALUÑA S-N - (LAZO EXTENSION GRUPO 7),40.448792,-3.677481,17,360
4024,GABRIEL-GALAN S-N - GUERRERO MENDOZA-RAMON Y CAJAL,40.452011,-3.671281,11,60
4025,(TACTICO) ALHELIES E-O - ALFONSO XIII-LOS NARCISOS,40.454906,-3.666589,29,80
5001,SERRANO 218 N-S - PL. REPUBLICA DEL SALVADOR-CONCHA ESPINA,40.452496,-3.680947,25,1320
5002,(AFOROS) SERRANO 170 N-S - NERVION-PL. REPUBLICA ARGENTINA,40.446726,-3.684492,13,2540
5003,SERRANO 113 N-S - PABLO ARANDA-PEDRO VALDIVIA,40.441064,-3.686019,7,1939
5004,(AFOROS) SERRANO 50 N-S - AYALA-HERMOSILLA,40.427505,-3.687448,7,2260
5005,LOPEZ DE HOYOS 21 E-O - VELAZQUEZ-MARIA MOLINA,40.438513,-3.684203,4,600
5006,CONCHA ESPINA 39 O-E - PL. SAGRADOS CORAZONES-SERRANO,40.451657,-3.683319,52,480
5007,EDUARDO DATO O-E - GTA. RUBEN DARIO-SERRANO,40.432974,-3.687654,19,840
