"";"identif";"velocidad_media";"carga_media";"intensidad_total"
"293";"PM10832";79,2989547038327;35,0317073170732;8807447
"294";"PM20831";77,8327526132404;34,9700348432056;6661771
"295";"13041";0;34,960880195599;1734618
"296";"13543";0;34,9316120027913;414552
"297";"34009";0;34,9246599232647;787945
"298";"34019";0;34,8942172073343;1977253
"299";"13039";0;34,8757850662945;1001505
"300";"PM10441";83,805574912892;34,8508710801394;6602353
"301";"97078";0;34,8264203555246;1620996
"302";"13043";0;34,8205933682373;895534
"303";"18018";0;34,8166259168704;1163347
"304";"21019";0;34,813175322412;3873360
"305";"14015";0;34,8068571428571;1147414
"306";"18016";0;34,7859531772575;2114587
"307";"09001";0;34,7856140350877;1699387
"308";"46408";0;34,7826541274817;289885
"309";"97075";0;34,7786685256187;3555863
"310";"PM11168";91,3581881533101;34,7243902439024;4531242
"311";"06018";0;34,7178235088943;738524
"312";"35021";0;34,7162303664921;410783
"313";"17036";0;34,7123862841148;911097
"314";"41055";0;34,6961981164981;2379326
"315";"35047";0;34,672131147541;526193
"316";"05012";0;34,6678321678322;3182543
"317";"16037";0;34,6604134762634;2129227
"318";"20003";0;34,6601603346114;4088999
"319";"16007";0;34,6508785332315;2088118
"320";"06042";0;34,6404929577465;1422727
"321";"PM11108";88,3588850174216;34,6386759581882;4536457
"322";"02017";0;34,6100453435647;2050997
"323";"97520";0;34,6048588781708;2177533
"324";"29300";0;34,5916666666667;3616
"325";"PM10471";83,9554006968641;34,51393728223;6573872
"326";"PM10501";83,3459930313589;34,4979094076655;6587554
"327";"13051";0;34,473721340388;2647987
"328";"PM43221";83,141065830721;34,4691745036573;4380749
"329";"02061";0;34,4620938628159;174367
"330";"19018";0;34,45;1288076
"331";"16042";0;34,4382881161635;3084855
"332";"98023";0;34,4318971507992;1378980
"333";"44015";0;34,4161873459326;1152266
"334";"97502";0;34,4019769357496;711890
"335";"44006";0;34,3707708405999;2273081
"336";"16022";0;34,3677717810332;2161190
"337";"02300";0;34,3005657708628;949696
"338";"PM20971";85,9780487804878;34,293031358885;6625216
"339";"09017";0;34,2847682119205;1105723
