EstCod,Par,Tec,Pe,Datum,NO2
28079004,8,8,2,mar 16-09 07,62
28079004,8,8,2,mar 16-09 08,73
28079004,8,8,2,mar 16-09 09,65
28079004,8,8,2,mar 16-09 10,40
28079004,8,8,2,mar 16-09 11,39
28079004,8,8,2,mar 16-09 12,41
28079004,8,8,2,mar 16-09 13,30
28079004,8,8,2,mar 16-09 14,23
28079004,8,8,2,mar 16-09 15,23
28079004,8,8,2,mar 16-09 16,27
28079004,8,8,2,mar 16-09 17,30
28079004,8,8,2,mar 16-09 18,26
28079004,8,8,2,mar 16-09 19,29
28079004,8,8,2,mar 16-09 20,27
28079004,8,8,2,mar 16-09 21,20
28079004,8,8,2,mar 16-09 22,15
28079004,8,8,2,mar 16-09 23,17
28079004,8,8,2,mié 17-09 00,9
28079004,8,8,2,mié 17-09 01,8
28079004,8,8,2,mié 17-09 02,11
28079004,8,8,2,mié 17-09 03,16
28079004,8,8,2,mié 17-09 04,15
28079004,8,8,2,mié 17-09 05,19
28079004,8,8,2,mié 17-09 06,24
28079004,8,8,2,mié 17-09 07,48
28079004,8,8,2,mié 17-09 08,50
28079004,8,8,2,mié 17-09 09,49
28079004,8,8,2,mié 17-09 10,44
28079004,8,8,2,mié 17-09 11,34
28079004,8,8,2,mié 17-09 12,30
28079004,8,8,2,mié 17-09 13,29
28079004,8,8,2,mié 17-09 14,22
28079004,8,8,2,mié 17-09 15,20
28079004,8,8,2,mié 17-09 16,21
28079004,8,8,2,mié 17-09 17,18
28079004,8,8,2,mié 17-09 18,27
28079004,8,8,2,mié 17-09 19,40
28079004,8,8,2,mié 17-09 20,37
28079004,8,8,2,mié 17-09 21,33
28079004,8,8,2,mié 17-09 22,33
28079004,8,8,2,mié 17-09 23,41
28079004,8,8,2,jue 18-09 00,28
28079004,8,8,2,jue 18-09 01,10
28079004,8,8,2,jue 18-09 02,11
28079004,8,8,2,jue 18-09 03,14
28079004,8,8,2,jue 18-09 04,16
28079004,8,8,2,jue 18-09 05,23
28079004,8,8,2,jue 18-09 06,33
28079004,8,8,2,jue 18-09 07,44
28079004,8,8,2,jue 18-09 08,49
28079004,8,8,2,jue 18-09 09,45
28079004,8,8,2,jue 18-09 10,33
28079004,8,8,2,jue 18-09 11,37
28079004,8,8,2,jue 18-09 12,28
28079004,8,8,2,jue 18-09 13,26
28079004,8,8,2,jue 18-09 14,23
28079004,8,8,2,jue 18-09 15,17
28079004,8,8,2,jue 18-09 16,21
28079004,8,8,2,jue 18-09 17,28
28079004,8,8,2,jue 18-09 18,29
28079004,8,8,2,jue 18-09 19,40
28079004,8,8,2,jue 18-09 20,51
28079004,8,8,2,jue 18-09 21,50
28079004,8,8,2,jue 18-09 22,58
28079004,8,8,2,jue 18-09 23,41
28079004,8,8,2,vie 19-09 00,39
28079004,8,8,2,vie 19-09 01,41
28079004,8,8,2,vie 19-09 02,26
28079004,8,8,2,vie 19-09 03,29
28079004,8,8,2,vie 19-09 04,29
28079004,8,8,2,vie 19-09 05,30
28079004,8,8,2,vie 19-09 06,31
28079004,8,8,2,vie 19-09 07,44
28079004,8,8,2,vie 19-09 08,48
28079004,8,8,2,vie 19-09 09,48
28079004,8,8,2,vie 19-09 10,41
28079004,8,8,2,vie 19-09 11,30
28079004,8,8,2,vie 19-09 12,27
